指标,国民总收入(亿元),国内生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),人均国内生产总值(元),国内游客(百万人次),城镇居民国内游客(百万人次),农村居民国内游客(百万人次),国内旅游总花费(亿元),城镇居民国内旅游总花费(亿元),农村居民国内旅游总花费(亿元),国内旅游人均花费(元),城镇居民国内旅游人均花费(元),农村居民国内旅游人均花费(元),旅客运输平均运距(公里),铁路旅客运输平均运距(公里),公路旅客运输平均运距(公里),水运旅客运输平均运距(公里),民用航空旅客运输平均运距(公里),旅客周转量(亿人公里),铁路旅客周转量(亿人公里),国家铁路旅客周转量(亿人公里),地方铁路旅客周转量(亿人公里),合资铁路旅客周转量(亿人公里),公路旅客周转量(亿人公里),水运旅客周转量(亿人公里),民用航空旅客周转量(亿人公里),旅行社数(个),星级饭店总数(个),入境游客(万人次),外国人入境游客(万人次),港澳同胞入境游客(万人次),台湾同胞入境游客(万人次),入境过夜游客(万人次),国内居民出境人数(万人次),国内居民因私出境人数(万人次),国内游客(万人次),国际旅游外汇收入(亿美元),国际旅游外汇收入(百万美元),国内旅游总花费(亿元),住宿和餐饮业法人企业数(个),住宿和餐饮业年末从业人数(万人),住宿和餐饮业营业额(亿元),住宿和餐饮业餐费收入(亿元),住宿和餐饮业餐饮营业面积(万平方米),住宿业法人企业数(个),住宿业年末从业人数(人),住宿业营业额(亿元),住宿业客房收入(亿元),住宿业餐费收入(亿元),住宿业客房数(万间),住宿业床位数(万位),住宿业餐饮营业面积(万平方米),餐饮业法人企业数(个),餐饮业年末从业人数(人),餐饮业营业额(亿元),餐饮业餐费收入(亿元),餐饮业餐饮营业面积(万平方米),社会消费品零售总额(亿元)
2006年,219028.5,219438.5,23317,104359.2,91762.2,16738,1394,576,818,6229.7,4414.7,1815,446.9,766.4,221.9,94.84,527,54.45,33.38,1484.65,19197.21,6622.12,6353.27,4.66,264.19,10130.85,73.58,2370.66,17957,12751,12494.21,2221.03,9831.84,441.35,4991.3,3452.36,2879.91,139400,339.49,33949,6229.7,37151,400,4824.43,3246.06,6171.38,14628,1998667,2231.61,1064.58,887.67,215.55,379.99,2256.8,22523,2001699,2592.82,2358.39,3914.58,76827.2
2007年,270704,270092.3,27674.1,126630.5,115787.7,20494,1610,612,998,7770.6,5550.4,2220.2,482.6,906.9,222.5,96.93,531.9,56.11,34.06,1502.85,21592.58,7216.31,6896.18,5.32,314.81,11506.77,77.78,2791.73,18943,13583,13187.33,2610.97,10113.57,462.79,5471.98,4095.4,3492.4,161000,419.19,41919,7770.6,35192,400.7,4947.06,3373.09,6093.89,14498,2000484,2260.7,1041.19,931.78,201.67,351.47,2308.11,20694,2006056,2686.36,2441.31,3785.78,90638.4
2008年,321229.5,319244.6,32464.1,149952.9,136827.5,24100,1712,703,1009,8749.3,5971.7,2777.6,511,849.4,275.3,80.88,532.08,46.52,29.1,1497.47,23196.7,7778.6,7739.15,5.85,33.6,12476.11,59.18,2882.8,20110,14099,13002.74,2432.53,10131.65,438.56,5304.92,4584.44,4013.12,171200,408.43,40843,8749.3,37308,431.1,5992.99,4037.1,6249.39,15713,2108179,2797.84,1309.76,1143.87,224.9,393.22,2269.65,21595,2202988,3195.14,2893.23,3979.74,110994.6
2009年,347934.9,348517.7,33583.8,160168.8,154765.1,26180,1902,903,999,10183.7,7233.8,2949.9,535.4,801.1,295.3,83.43,516.81,48.62,31.09,1464.21,24834.94,7878.89,7840.09,5.63,33.16,13511.44,69.38,3375.24,20399,14237,12647.59,2193.75,10005.44,448.4,5087.52,4765.62,4220.97,190200,396.75,39675,10183.7,39002,443.5,7070.94,4755.76,9630.8,16506,2156638,3261.89,1535.32,1321.98,254.32,426.41,4279.7,22496,2277980,3809.05,3433.77,5351.1,128331.3
2010年,410354.1,412119.3,38430.8,191626.5,182061.9,30808,2103,1065,1038,12579.8,9403.8,3176,598.2,883,306,85.32,522.77,49.2,32.27,1508.83,27894.26,8762.18,8725.72,6.31,30.15,15020.81,72.27,4039,22784,13991,13376.22,2612.69,10249.48,514.06,5566.45,5738.65,5150.79,210300,458.14,45814,12579.77,40499,454.5,7954.28,5442.76,10000.76,17109,2107502,3534.44,1617.91,1476.03,336,548.7,4641.63,23390,2437088,4419.85,3966.73,5359.13,152083.1
2011年,483392.8,487940.2,44781.5,227035.1,216123.6,36302,2641,1687,954,19305.4,14808.6,4496.8,731,877.8,471.4,87.87,516.16,51,30.35,1547.57,30984.03,9612.29,9582.71,6.62,22.97,16760.25,74.53,4536.96,23690,13513,13542.35,2711.2,10304.85,526.3,5758.07,7025,6411.79,264100,484.64,48464,19305.39,45180,456.2,8061.32,5430.52,9473.84,18437,2094185,3527.99,1705.43,1374.45,265.51,439.54,3880.32,26743,2467693,4533.33,4056.07,5593.52,179803.8
2012年,537329,538580,49084.6,244639.1,244856.2,39874,2957,1933,1024,22706.2,17678,5028.2,767.9,914.5,491,87.76,518.25,51.92,30.09,1573.69,33383.09,9812.33,9783.99,6.88,21.46,18467.55,77.48,5025.74,24944,12807,13240.53,2719.16,9987.35,534.02,5772.49,8318.17,7705.51,295700,500.28,50028,22706.2,45508,432.4,8150.6,5453.7,9570,18874,1979000,3535.2,1739.2,1333.5,319.9,523,4014.2,26634,2345000,4615.3,4120.2,5555.8,205517.3
2013年,588141.2,592963.2,53028.1,261951.6,277983.5,43684,3262,2186,1076,26276.1,20692.6,5583.5,805.5,946.6,518.9,129.87,503.12,60.7,29.03,1598.11,27571.65,10595.62,10550.32,7.28,38.02,11250.94,68.33,5656.76,26054,13293,12907.78,2629.03,9762.5,516.25,5568.59,9818.52,9197.08,326200,516.64,51664,26276.1,44884,413.2,8512.23,5709.52,9276.65,18937,1911615,3648.22,1803.1,1366.06,337.2,549.66,3910.4,25947,2220780,4864.01,4343.47,5366.25,232252.6
2014年,644380.2,643563.1,55626.3,277282.8,310654,47173,3611,2483,1128,30311.9,24219.8,6092.1,839.7,975.4,540.2,140.96,487.8,63.34,28.27,1616.08,28647.13,11241.85,11556.36,7.26,41.13,10996.75,74.34,6334.19,26650,12803,12849.83,2636.08,9677.16,536.59,5562.2,11659.32,11002.91,361100,1053.8,105380,30311.86,45855,407.4,8938.19,5967.9,9468.15,19496,1863303,3811.12,1907.23,1405.82,378.32,605.47,4080.48,26359,2211112,5127.07,4562.14,5387.67,259487.3
2015年,686255.7,688858.2,57774.6,281338.9,349744.7,50237,3990,2802,1188,34195.1,27610.9,6584.2,857,985.5,554.2,154.68,471.85,66.35,27,1669.62,30058.9,11960.6,,,,10742.66,73.08,7282.55,27621,12327,13382.04,2598.54,10233.64,549.86,5688.57,12786,12172,399000,1136.5,113650,34195.05,45664,405.3,9276.71,6135.42,9590.43,19780,1820851,3963.93,2051.24,1403.32,393.17,626.16,4239.94,25884,2232258,5312.78,4732.1,5350.49,286587.8
2016年,743408.3,746395.1,60139.2,295427.8,390828.1,54139,4435,3195,1240,39389.8,32241.9,7147.9,888.2,1009.1,576.4,164.5,447.02,66.3,26.56,1716.97,31258.46,12579.29,,,,10228.71,72.33,8378.13,27939,11685,13844.38,2815.12,10456.26,573,5926.73,13513,12850,443500,1200,120000,39389.8,46872,412.2,9682.6,6405.4,10283.3,20614,1780363,4059.7,2130.6,1407.7,394.8,637.3,4827.9,26258,2342218,5622.9,4997.7,5455.4,315806.2
2017年,831381.2,832035.9,62099.5,331580.5,438355.9,60014,5001,3677,1324,45660.8,37673,7987.7,913,1024.6,603.3,177.5,436.38,67.03,27.44,1724.75,32812.8,13456.92,,,,9765.18,77.66,9513.04,29717,9566,13948.24,2917,10444.59,587.13,6073.84,14272.74,13581.56,500100,1234.17,123417,45660.77,53711,434.8,10900.99,7349.55,,23793,1819634,4343.61,2345.63,1462.97,422.75,677.54,,29918,2527930,6557.38,5886.58,,347326.7
2018年,914327.1,919281.1,64745.2,364835.2,489700.8,66006,5539,4119,1420,51278.3,42590,8688.3,925.8,1034,611.9,190.76,419.16,67.88,28.44,1751.13,34218.15,14146.58,,,,9279.68,79.57,10712.32,37309,8962,14119.83,3054.29,10451.93,613.61,6289.57,16199.34,15501.69,553900,1271.03,127103.01,51278.29,,,,,,,,,,,,,,,,,,,377783.1
2019年,984179,986515.2,70473.6,380670.6,535371,70581,6006,4471,1535,57250.9,47509,9741.9,953.3,1062.6,634.7,200.8,401.82,68.07,29.42,1773.71,35349.24,14706.64,,,,8857.08,80.22,11705.3,38943,10130,14530.78,3188.34,10729.01,613.42,6572.52,16920.54,16211.43,600600,1312.54,131254,57250.92,,,,,,,,,,,,,,,,,,,408017.2
